"Contractor_Name","Contractor_Details_URL","State_Local_Auth","Contract_Number","Phone","Location","Socio_Economic_Indicators","Contractor_TC_Price_List","View_Catalog"
LONGEVITY CONSULTING LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-186AA&contractorName=LONGEVITY+CONSULTING+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-186AA,(800) 517-1925 EXT.,"MANASSAS ,VA",s/v/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F186AA/GS35F186AA_online.htm,advRedirect.do?contract=GS-35F-186AA&sin=132+51&src=elib&app=cat
"LONGVIEW INTERNATIONAL TECHNOLOGY SOLUTIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0234R&contractorName=LONGVIEW+INTERNATIONAL+TECHNOLOGY+SOLUTIONS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0234R,703-657-5480,"HERNDON ,VA",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F0234R/GS35F0234R_online.htm,advRedirect.do?contract=GS-35F-0234R&sin=132+51&src=elib&app=cat
LORDS TECHNOLOGIES INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-246DA&contractorName=LORDS+TECHNOLOGIES+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-246DA,7034731400,"FAIRFAX ,VA",s,https://www.gsaadvantage.gov/ref_text/GS35F246DA/GS35F246DA_online.htm,advRedirect.do?contract=GS-35F-246DA&sin=132+51&src=elib&app=cat
"LOUI CONSULTING GROUP, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-437CA&contractorName=LOUI+CONSULTING+GROUP%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-437CA,478-599-0104,"WARNER ROBINS ,GA",s,https://www.gsaadvantage.gov/ref_text/GS35F437CA/GS35F437CA_online.htm,advRedirect.do?contract=GS-35F-437CA&sin=132+51&src=elib&app=cat
"LOUISIANA TECHNOLOGY GROUP, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0197U&contractorName=LOUISIANA+TECHNOLOGY+GROUP%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0197U,504-304-2505,"NEW ORLEANS ,LA",s/w,https://www.gsaadvantage.gov/ref_text/GS35F0197U/GS35F0197U_online.htm,advRedirect.do?contract=GS-35F-0197U&sin=132+51&src=elib&app=cat
LOUISVILLE GEEK LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-345CA&contractorName=LOUISVILLE+GEEK+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-345CA,502.897.7577,"LOUISVILLE ,KY",s,https://www.gsaadvantage.gov/ref_text/GS35F345CA/GS35F345CA_online.htm,advRedirect.do?contract=GS-35F-345CA&sin=132+51&src=elib&app=cat
LOYAL SOURCE GOVERNMENT SERVICES LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-355BA&contractorName=LOYAL+SOURCE+GOVERNMENT+SERVICES+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-355BA,407-591-3088,"ORLANDO ,FL",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F355BA/GS35F355BA_online.htm,advRedirect.do?contract=GS-35F-355BA&sin=132+51&src=elib&app=cat
LOYOLA ENTERPRISES INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0274L&contractorName=LOYOLA+ENTERPRISES+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0274L,7574986118 X101,"VIRGINIA BEACH ,VA",s/dv/d,https://www.gsaadvantage.gov/ref_text/GS35F0274L/GS35F0274L_online.htm,advRedirect.do?contract=GS-35F-0274L&sin=132+51&src=elib&app=cat
"LRP PUBLICATIONS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0404K&contractorName=LRP+PUBLICATIONS%2C+INC.&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0404K,800-515-4577 X6527,"PALM BEACH GARDENS ,FL",s,https://www.gsaadvantage.gov/ref_text/GS35F0404K/GS35F0404K_online.htm,advRedirect.do?contract=GS-35F-0404K&sin=132+51&src=elib&app=cat
LS3 INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0134V&contractorName=LS3+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0134V,7039898806,"ODENTON ,MD",s/w/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0134V/GS35F0134V_online.htm,advRedirect.do?contract=GS-35F-0134V&sin=132+51&src=elib&app=cat
LTG FEDERAL INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-078BA&contractorName=LTG+FEDERAL+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-078BA,5713581626,"TYSONS CORNER ,VA",s/w/wo/ew,https://www.gsaadvantage.gov/ref_text/GS35F078BA/GS35F078BA_online.htm,advRedirect.do?contract=GS-35F-078BA&sin=132+51&src=elib&app=cat
"LTS - LEGAL TECHNOLOGY STAFFING, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0649Y&contractorName=LTS+-+LEGAL+TECHNOLOGY+STAFFING%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0649Y,(310)374-1100,"REDONDO BEACH ,CA",s/v,https://www.gsaadvantage.gov/ref_text/GS35F0649Y/GS35F0649Y_online.htm,
LUMINARA CONSULTING INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-236DA&contractorName=LUMINARA+CONSULTING+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-236DA,512-680-6069,"AUSTIN ,TX",s/w/wo/ew/d,https://www.gsaadvantage.gov/ref_text/GS35F236DA/GS35F236DA_online.htm,advRedirect.do?contract=GS-35F-236DA&sin=132+51&src=elib&app=cat
"LUNARLINE, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0392X&contractorName=LUNARLINE%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0392X,5714819305,"ARLINGTON ,VA",s/dv,https://www.gsaadvantage.gov/ref_text/GS35F0392X/GS35F0392X_online.htm,advRedirect.do?contract=GS-35F-0392X&sin=132+51&src=elib&app=cat
LYNKER TECHNOLOGIES LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0316V&contractorName=LYNKER+TECHNOLOGIES+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0316V,571-246-2325,"LEESBURG ,VA",s/h,https://www.gsaadvantage.gov/ref_text/GS35F0316V/GS35F0316V_online.htm,advRedirect.do?contract=GS-35F-0316V&sin=132+51&src=elib&app=cat
M & S CONSULTING LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0231S&contractorName=M+%26+S+CONSULTING+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0231S,304-602-3966,"MORGANTOWN ,WV",s/w/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0231S/GS35F0231S_online.htm,advRedirect.do?contract=GS-35F-0231S&sin=132+51&src=elib&app=cat
"M-CUBED INFORMATION SYSTEMS, INC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0138J&contractorName=M-CUBED+INFORMATION+SYSTEMS%2C+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0138J,703-224-8831,"MCLEAN ,VA",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0138J/GS35F0138J_online.htm,advRedirect.do?contract=GS-35F-0138J&sin=132+51&src=elib&app=cat
"M.C. DEAN, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0226W&contractorName=M.C.+DEAN%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0226W,7038026231,"STERLING ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F0226W/GS35F0226W_online.htm,advRedirect.do?contract=GS-35F-0226W&sin=132+51&src=elib&app=cat
M2 STRATEGY INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-037CA&contractorName=M2+STRATEGY+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-037CA,7038225600,"MCLEAN ,VA",s/w/wo/ew/d,https://www.gsaadvantage.gov/ref_text/GS35F037CA/GS35F037CA_online.htm,advRedirect.do?contract=GS-35F-037CA&sin=132+51&src=elib&app=cat
"M2 TECHNOLOGY, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0157M&contractorName=M2+TECHNOLOGY%2C+INC.&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0157M,210-566-3773,"SAN ANTONIO ,TX",s/v/d,https://www.gsaadvantage.gov/ref_text/GS35F0157M/GS35F0157M_online.htm,advRedirect.do?contract=GS-35F-0157M&sin=132+51&src=elib&app=cat
"MA FEDERAL, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-005GA&contractorName=MA+FEDERAL%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-005GA,703-356-1160,"RESTON ,VA",s,https://www.gsaadvantage.gov/ref_text/GS35F005GA/GS35F005GA_online.htm,advRedirect.do?contract=GS-35F-005GA&sin=132+51&src=elib&app=cat
"MACAULAY-BROWN, INC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0137J&contractorName=MACAULAY-BROWN%2C+INC&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0137J,9374263421,"DAYTON ,OH",o,https://www.gsaadvantage.gov/ref_text/GS35F0137J/GS35F0137J_online.htm,advRedirect.do?contract=GS-35F-0137J&sin=132+51&src=elib&app=cat
"MACAULAY-BROWN, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0275K&contractorName=MACAULAY-BROWN%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0275K,937-426-3421,"DAYTON ,OH",o,https://www.gsaadvantage.gov/ref_text/GS35F0275K/GS35F0275K_online.htm,advRedirect.do?contract=GS-35F-0275K&sin=132+51&src=elib&app=cat
"MACFADDEN & ASSOCIATES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0599J&contractorName=MACFADDEN+%26+ASSOCIATES%2C+INC.&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0599J,301-588-5900,"SILVER SPRING ,MD",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0599J/GS35F0599J_online.htm,advRedirect.do?contract=GS-35F-0599J&sin=132+51&src=elib&app=cat
"MACKSON CONSULTING, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0393Y&contractorName=MACKSON+CONSULTING%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0393Y,7034022461,"RESTON ,VA",s/w/wo,https://www.gsaadvantage.gov/ref_text/GS35F0393Y/GS35F0393Y_online.htm,advRedirect.do?contract=GS-35F-0393Y&sin=132+51&src=elib&app=cat
"MACROSYS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0397L&contractorName=MACROSYS%2C+LLC&executeQuery=YES,,GS-35F-0397L,703-812-8380,"ARLINGTON ,VA",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0397L/GS35F0397L_online.htm,advRedirect.do?contract=GS-35F-0397L&sin=132+51&src=elib&app=cat
"MAD SECURITY, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0563X&contractorName=MAD+SECURITY%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0563X,2403082525,"MONTPELIER ,VA",s,https://www.gsaadvantage.gov/ref_text/GS35F0563X/GS35F0563X_online.htm,advRedirect.do?contract=GS-35F-0563X&sin=132+51&src=elib&app=cat
"MADEN TECH CONSULTING, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4955G&contractorName=MADEN+TECH+CONSULTING%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-4955G,703-940-3627,"ARLINGTON ,VA",s/dv/d,https://www.gsaadvantage.gov/ref_text/GS35F4955G/GS35F4955G_online.htm,advRedirect.do?contract=GS-35F-4955G&sin=132+51&src=elib&app=cat
"MADWOLF TECHNOLOGIES, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0446R&contractorName=MADWOLF+TECHNOLOGIES%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0446R,202-293-5003,"WASHINGTON ,DC",s/w,https://www.gsaadvantage.gov/ref_text/GS35F0446R/GS35F0446R_online.htm,advRedirect.do?contract=GS-35F-0446R&sin=132+51&src=elib&app=cat
"MAGADIA CONSULTING, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-021DA&contractorName=MAGADIA+CONSULTING%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-021DA,240-462-4406,"BELTSVILLE ,MD",s/w/wo/ew/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F021DA/GS35F021DA_online.htm,advRedirect.do?contract=GS-35F-021DA&sin=132+51&src=elib&app=cat
"MAGNUS MANAGEMENT GROUP, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0103Y&contractorName=MAGNUS+MANAGEMENT+GROUP%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0103Y,703-629-5665,"BRISTOW ,VA",s/w/wo,https://www.gsaadvantage.gov/ref_text/GS35F0103Y/GS35F0103Y_online.htm,advRedirect.do?contract=GS-35F-0103Y&sin=132+51&src=elib&app=cat
MAIN SAIL LLC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0222N&contractorName=MAIN+SAIL+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0222N,216-472-5100,"CLEVELAND ,OH",s/v,https://www.gsaadvantage.gov/ref_text/GS35F0222N/GS35F0222N_online.htm,advRedirect.do?contract=GS-35F-0222N&sin=132+51&src=elib&app=cat
"MAINLINE INFORMATION SYSTEMS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0216L&contractorName=MAINLINE+INFORMATION+SYSTEMS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0216L,850-219-5183,"TALLAHASSEE ,FL",o,https://www.gsaadvantage.gov/ref_text/GS35F0216L/GS35F0216L_online.htm,advRedirect.do?contract=GS-35F-0216L&sin=132+51&src=elib&app=cat
"MAINSPRING, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4911H&contractorName=MAINSPRING%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-4911H,301-948-8077,"POOLESVILLE ,MD",s/w,https://www.gsaadvantage.gov/ref_text/GS35F4911H/GS35F4911H_online.htm,advRedirect.do?contract=GS-35F-4911H&sin=132+51&src=elib&app=cat
"MAINSTREAM GS, L.L.C.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-403CA&contractorName=MAINSTREAM+GS%2C+L.L.C.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-403CA,877-785-4888,"ROBINS ,IA",s/v,https://www.gsaadvantage.gov/ref_text/GS35F403CA/GS35F403CA_online.htm,advRedirect.do?contract=GS-35F-403CA&sin=132+51&src=elib&app=cat
MAINSTREET TECHNOLOGIES INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0474K&contractorName=MAINSTREET+TECHNOLOGIES+INC.&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0474K,410-347-1277,"COLUMBIA ,MD",s/v/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0474K/GS35F0474K_online.htm,advRedirect.do?contract=GS-35F-0474K&sin=132+51&src=elib&app=cat
"MAKO GROUP LLC, THE",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-357DA&contractorName=MAKO+GROUP+LLC%2C+THE&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-357DA,3174562884,"INDIANAPOLIS ,IN",s,https://www.gsaadvantage.gov/ref_text/GS35F357DA/GS35F357DA_online.htm,advRedirect.do?contract=GS-35F-357DA&sin=132+51&src=elib&app=cat
"MANAGED BUSINESS SOLUTIONS, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0357U&contractorName=MANAGED+BUSINESS+SOLUTIONS%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0357U,719-314-3418,"COLORADO SPRINGS ,CO",s/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0357U/GS35F0357U_online.htm,advRedirect.do?contract=GS-35F-0357U&sin=132+51&src=elib&app=cat
"MANAGED LABORATORY SERVICES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-080GA&contractorName=MANAGED+LABORATORY+SERVICES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-080GA,(858)605-7059,"SAN DIEGO ,CA",s/w/wo,,
"MANAGEMENT AND ENGINEERING TECHNOLOGIES INTERNATIONAL, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0162K&contractorName=MANAGEMENT+AND+ENGINEERING+TECHNOLOGIES+INTERNATIONAL%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0162K,91557724975,"EL PASO ,TX",s/d,https://www.gsaadvantage.gov/ref_text/GS35F0162K/GS35F0162K_online.htm,advRedirect.do?contract=GS-35F-0162K&sin=132+51&src=elib&app=cat
"MANAGEMENT DECISIONS - MDI, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-429CA&contractorName=MANAGEMENT+DECISIONS+-+MDI%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-429CA,817-850-8104,"NORCROSS ,GA",o,https://www.gsaadvantage.gov/ref_text/GS35F429CA/GS35F429CA_online.htm,advRedirect.do?contract=GS-35F-429CA&sin=132+51&src=elib&app=cat
"MANAGEMENT SUPPORT TECHNOLOGY, INCORPORATED",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0188K&contractorName=MANAGEMENT+SUPPORT+TECHNOLOGY%2C+INCORPORATED&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0188K,(703)385-5841,"FAIRFAX ,VA",s/dv/d,https://www.gsaadvantage.gov/ref_text/GS35F0188K/GS35F0188K_online.htm,advRedirect.do?contract=GS-35F-0188K&sin=132+51&src=elib&app=cat
"MANAGEMENT SYSTEMS SERVICES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4740G&contractorName=MANAGEMENT+SYSTEMS+SERVICES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-4740G,301-222-0694,"BETHESDA ,MD",s,https://www.gsaadvantage.gov/ref_text/GS35F4740G/GS35F4740G_online.htm,advRedirect.do?contract=GS-35F-4740G&sin=132+51&src=elib&app=cat
"MANAGEMENT SYSTEMS SERVICES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-489CA&contractorName=MANAGEMENT+SYSTEMS+SERVICES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-489CA,301-222-0694,"BETHESDA ,MD",s,https://www.gsaadvantage.gov/ref_text/GS35F489CA/GS35F489CA_online.htm,advRedirect.do?contract=GS-35F-489CA&sin=132+51&src=elib&app=cat
"MANAGEMENT TECHNOLOGY, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4502G&contractorName=MANAGEMENT+TECHNOLOGY%2C+INC.&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-4502G,3012658909,"CLINTON ,MD",s/w/wo/ew/d,https://www.gsaadvantage.gov/ref_text/GS35F4502G/GS35F4502G_online.htm,advRedirect.do?contract=GS-35F-4502G&sin=132+51&src=elib&app=cat
"MANAN, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0063W&contractorName=MANAN%2C+LLC&executeQuery=YES,Indicates that state and local governments may procure Disaster Purchasing products/services from this contract,GS-35F-0063W,804-320-1414,"HENRICO ,VA",s,https://www.gsaadvantage.gov/ref_text/GS35F0063W/GS35F0063W_online.htm,advRedirect.do?contract=GS-35F-0063W&sin=132+51&src=elib&app=cat
"MANDIANT, LLC",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0168W&contractorName=MANDIANT%2C+LLC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0168W,703-224-3531,"ALEXANDRIA ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F0168W/GS35F0168W_online.htm,advRedirect.do?contract=GS-35F-0168W&sin=132+51&src=elib&app=cat
"MANIKSOFT, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-136CA&contractorName=MANIKSOFT%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-136CA,5083613565,"MARLBOROUGH ,MA",s/w/d,https://www.gsaadvantage.gov/ref_text/GS35F136CA/GS35F136CA_online.htm,advRedirect.do?contract=GS-35F-136CA&sin=132+51&src=elib&app=cat
"MANILA CONSULTING GROUP, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0448U&contractorName=MANILA+CONSULTING+GROUP%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0448U,5716339400,"MC LEAN ,VA",s/w/d/8a,https://www.gsaadvantage.gov/ref_text/GS35F0448U/GS35F0448U_online.htm,advRedirect.do?contract=GS-35F-0448U&sin=132+51&src=elib&app=cat
MANNING SERVICE INC,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0027U&contractorName=MANNING+SERVICE+INC&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0027U,7032030760,"DUMFRIES ,VA",s/v,https://www.gsaadvantage.gov/ref_text/GS35F0027U/GS35F0027U_online.htm,advRedirect.do?contract=GS-35F-0027U&sin=132+51&src=elib&app=cat
MANPOWERGROUP PUBLIC SECTOR INC.,contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0392W&contractorName=MANPOWERGROUP+PUBLIC+SECTOR+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0392W,703-659-7328,"FALLS CHURCH ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F0392W/GS35F0392W_online.htm,advRedirect.do?contract=GS-35F-0392W&sin=132+51&src=elib&app=cat
"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0142W&contractorName=MANTECH+ADVANCED+SYSTEMS+INTERNATIONAL%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0142W,703-218-6440,"FAIRFAX ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F0142W/GS35F0142W_online.htm,advRedirect.do?contract=GS-35F-0142W&sin=132+51&src=elib&app=cat
"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0359V&contractorName=MANTECH+ADVANCED+SYSTEMS+INTERNATIONAL%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0359V,703-218-6440,"FAIRFAX ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F0359V/GS35F0359V_online.htm,advRedirect.do?contract=GS-35F-0359V&sin=132+51&src=elib&app=cat
"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-4660G&contractorName=MANTECH+ADVANCED+SYSTEMS+INTERNATIONAL%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-4660G,703 218 6440,"FAIRFAX ,VA",o,https://www.gsaadvantage.gov/ref_text/GS35F4660G/GS35F4660G_online.htm,advRedirect.do?contract=GS-35F-4660G&sin=132+51&src=elib&app=cat
"MANUFACTURING AND INDUSTRIAL TECHNOLOGIES, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-176AA&contractorName=MANUFACTURING+AND+INDUSTRIAL+TECHNOLOGIES%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-176AA,(248)814-8544,"LAKE ORION ,MI",s/w/wo,https://www.gsaadvantage.gov/ref_text/GS35F176AA/GS35F176AA_online.htm,
"MANUFACTURING AUTOMATION & SOFTWARE SYSTEMS, INC.",contractorInfo.do;jsessionid=45223235A079C3DB237FB375FB880575.prd2pweb?contractNumber=GS-35F-0145Y&contractorName=MANUFACTURING+AUTOMATION+%26+SOFTWARE+SYSTEMS%2C+INC.&executeQuery=YES,Vendor is authorized to sell to State & Local Governments,GS-35F-0145Y,818-709-1255,"CHATSWORTH ,CA",s,https://www.gsaadvantage.gov/ref_text/GS35F0145Y/GS35F0145Y_online.htm,advRedirect.do?contract=GS-35F-0145Y&sin=132+51&src=elib&app=cat
